date_id,full_date,year,quarter,month,month_name,week,day_of_week,day_name,is_weekend
1,2023-01-01,2023,1,1,January,52,6,Sunday,1
2,2023-01-02,2023,1,1,January,1,0,Monday,0
3,2023-01-03,2023,1,1,January,1,1,Tuesday,0
4,2023-01-04,2023,1,1,January,1,2,Wednesday,0
5,2023-01-05,2023,1,1,January,1,3,Thursday,0
6,2023-01-06,2023,1,1,January,1,4,Friday,0
7,2023-01-07,2023,1,1,January,1,5,Saturday,1
8,2023-01-08,2023,1,1,January,1,6,Sunday,1
9,2023-01-09,2023,1,1,January,2,0,Monday,0
10,2023-01-10,2023,1,1,January,2,1,Tuesday,0
11,2023-01-11,2023,1,1,January,2,2,Wednesday,0
12,2023-01-12,2023,1,1,January,2,3,Thursday,0
13,2023-01-13,2023,1,1,January,2,4,Friday,0
14,2023-01-14,2023,1,1,January,2,5,Saturday,1
15,2023-01-15,2023,1,1,January,2,6,Sunday,1
16,2023-01-16,2023,1,1,January,3,0,Monday,0
17,2023-01-17,2023,1,1,January,3,1,Tuesday,0
18,2023-01-18,2023,1,1,January,3,2,Wednesday,0
19,2023-01-19,2023,1,1,January,3,3,Thursday,0
20,2023-01-20,2023,1,1,January,3,4,Friday,0
21,2023-01-21,2023,1,1,January,3,5,Saturday,1
22,2023-01-22,2023,1,1,January,3,6,Sunday,1
23,2023-01-23,2023,1,1,January,4,0,Monday,0
24,2023-01-24,2023,1,1,January,4,1,Tuesday,0
25,2023-01-25,2023,1,1,January,4,2,Wednesday,0
26,2023-01-26,2023,1,1,January,4,3,Thursday,0
27,2023-01-27,2023,1,1,January,4,4,Friday,0
28,2023-01-28,2023,1,1,January,4,5,Saturday,1
29,2023-01-29,2023,1,1,January,4,6,Sunday,1
30,2023-01-30,2023,1,1,January,5,0,Monday,0
31,2023-01-31,2023,1,1,January,5,1,Tuesday,0
32,2023-02-01,2023,1,2,February,5,2,Wednesday,0
33,2023-02-02,2023,1,2,February,5,3,Thursday,0
34,2023-02-03,2023,1,2,February,5,4,Friday,0
35,2023-02-04,2023,1,2,February,5,5,Saturday,1
36,2023-02-05,2023,1,2,February,5,6,Sunday,1
37,2023-02-06,2023,1,2,February,6,0,Monday,0
38,2023-02-07,2023,1,2,February,6,1,Tuesday,0
39,2023-02-08,2023,1,2,February,6,2,Wednesday,0
40,2023-02-09,2023,1,2,February,6,3,Thursday,0
41,2023-02-10,2023,1,2,February,6,4,Friday,0
42,2023-02-11,2023,1,2,February,6,5,Saturday,1
43,2023-02-12,2023,1,2,February,6,6,Sunday,1
44,2023-02-13,2023,1,2,February,7,0,Monday,0
45,2023-02-14,2023,1,2,February,7,1,Tuesday,0
46,2023-02-15,2023,1,2,February,7,2,Wednesday,0
47,2023-02-16,2023,1,2,February,7,3,Thursday,0
48,2023-02-17,2023,1,2,February,7,4,Friday,0
49,2023-02-18,2023,1,2,February,7,5,Saturday,1
50,2023-02-19,2023,1,2,February,7,6,Sunday,1
51,2023-02-20,2023,1,2,February,8,0,Monday,0
52,2023-02-21,2023,1,2,February,8,1,Tuesday,0
53,2023-02-22,2023,1,2,February,8,2,Wednesday,0
54,2023-02-23,2023,1,2,February,8,3,Thursday,0
55,2023-02-24,2023,1,2,February,8,4,Friday,0
56,2023-02-25,2023,1,2,February,8,5,Saturday,1
57,2023-02-26,2023,1,2,February,8,6,Sunday,1
58,2023-02-27,2023,1,2,February,9,0,Monday,0
59,2023-02-28,2023,1,2,February,9,1,Tuesday,0
60,2023-03-01,2023,1,3,March,9,2,Wednesday,0
61,2023-03-02,2023,1,3,March,9,3,Thursday,0
62,2023-03-03,2023,1,3,March,9,4,Friday,0
63,2023-03-04,2023,1,3,March,9,5,Saturday,1
64,2023-03-05,2023,1,3,March,9,6,Sunday,1
65,2023-03-06,2023,1,3,March,10,0,Monday,0
66,2023-03-07,2023,1,3,March,10,1,Tuesday,0
67,2023-03-08,2023,1,3,March,10,2,Wednesday,0
68,2023-03-09,2023,1,3,March,10,3,Thursday,0
69,2023-03-10,2023,1,3,March,10,4,Friday,0
70,2023-03-11,2023,1,3,March,10,5,Saturday,1
71,2023-03-12,2023,1,3,March,10,6,Sunday,1
72,2023-03-13,2023,1,3,March,11,0,Monday,0
73,2023-03-14,2023,1,3,March,11,1,Tuesday,0
74,2023-03-15,2023,1,3,March,11,2,Wednesday,0
75,2023-03-16,2023,1,3,March,11,3,Thursday,0
76,2023-03-17,2023,1,3,March,11,4,Friday,0
77,2023-03-18,2023,1,3,March,11,5,Saturday,1
78,2023-03-19,2023,1,3,March,11,6,Sunday,1
79,2023-03-20,2023,1,3,March,12,0,Monday,0
80,2023-03-21,2023,1,3,March,12,1,Tuesday,0
81,2023-03-22,2023,1,3,March,12,2,Wednesday,0
82,2023-03-23,2023,1,3,March,12,3,Thursday,0
83,2023-03-24,2023,1,3,March,12,4,Friday,0
84,2023-03-25,2023,1,3,March,12,5,Saturday,1
85,2023-03-26,2023,1,3,March,12,6,Sunday,1
86,2023-03-27,2023,1,3,March,13,0,Monday,0
87,2023-03-28,2023,1,3,March,13,1,Tuesday,0
88,2023-03-29,2023,1,3,March,13,2,Wednesday,0
89,2023-03-30,2023,1,3,March,13,3,Thursday,0
90,2023-03-31,2023,1,3,March,13,4,Friday,0
91,2023-04-01,2023,2,4,April,13,5,Saturday,1
92,2023-04-02,2023,2,4,April,13,6,Sunday,1
93,2023-04-03,2023,2,4,April,14,0,Monday,0
94,2023-04-04,2023,2,4,April,14,1,Tuesday,0
95,2023-04-05,2023,2,4,April,14,2,Wednesday,0
96,2023-04-06,2023,2,4,April,14,3,Thursday,0
97,2023-04-07,2023,2,4,April,14,4,Friday,0
98,2023-04-08,2023,2,4,April,14,5,Saturday,1
99,2023-04-09,2023,2,4,April,14,6,Sunday,1
100,2023-04-10,2023,2,4,April,15,0,Monday,0
101,2023-04-11,2023,2,4,April,15,1,Tuesday,0
102,2023-04-12,2023,2,4,April,15,2,Wednesday,0
103,2023-04-13,2023,2,4,April,15,3,Thursday,0
104,2023-04-14,2023,2,4,April,15,4,Friday,0
105,2023-04-15,2023,2,4,April,15,5,Saturday,1
106,2023-04-16,2023,2,4,April,15,6,Sunday,1
