sale_id,customer_id,product_id,date_id,channel_id,quantity,unit_price,discount,total_amount,profit
1,384,41,96,3,4,1026.59,0.1,3695.72,1724.44
2,168,45,378,5,4,157.72,0.05,599.34,328.1
3,341,1,96,6,4,224.55,0.15,763.47,138.83
4,112,23,65,4,5,423.47,0.05,2011.48,1078.48
5,425,14,507,3,3,482.99,0,1448.97,816.75
6,290,22,561,4,5,882.41,0,4412.05,2468.65
7,51,22,699,6,1,882.41,0,882.41,493.73
8,81,30,17,4,1,554.1,0.2,443.28,220.94
9,353,30,1,2,4,554.1,0,2216.4,1327.04
10,478,42,310,3,2,127.83,0.2,204.53,100.25
11,43,6,671,3,3,810.96,0,2432.88,1459.68
12,203,43,665,6,2,943.2,0,1886.4,1098.56
13,336,20,717,1,2,735.47,0.05,1397.39,629.13
14,245,46,98,1,1,273.23,0,273.23,144.64
15,349,9,608,4,2,289.81,0.1,521.66,65.16
16,62,1,9,4,3,224.55,0.2,538.92,70.44
17,118,45,136,4,4,157.72,0,630.88,359.64
18,189,6,105,3,1,810.96,0,810.96,486.56
19,347,9,392,2,2,289.81,0.15,492.68,36.18
20,313,5,544,6,5,671.56,0,3357.8,1759.95
21,110,11,451,6,3,164.01,0.15,418.23,200.49
22,352,48,156,4,4,623.86,0.1,2245.9,886.94
23,386,14,89,1,1,482.99,0,482.99,272.25
24,162,38,394,2,3,440.34,0.05,1254.97,439.9
25,284,16,284,5,1,44.4,0,44.4,24.12
26,482,39,623,6,3,557.18,0.2,1337.23,276.7
27,266,2,675,5,3,649.16,0,1947.48,902.73
28,331,33,194,1,4,379.26,0,1517.04,802.8
29,124,16,507,4,4,44.4,0,177.6,96.48
30,456,41,609,1,1,1026.59,0.1,923.93,431.11
31,441,24,325,5,2,54.65,0.05,103.83,52.63
32,89,27,375,4,5,598.18,0.15,2542.26,657.66
33,35,50,75,1,1,375.47,0.1,337.92,127.88
34,486,17,221,4,1,232.94,0,232.94,83.36
35,213,33,294,4,5,379.26,0.2,1517.04,624.24
36,275,45,412,5,1,157.72,0.15,134.06,66.25
37,159,40,157,1,3,317.98,0,953.94,541.95
38,168,33,209,4,2,379.26,0.1,682.67,325.55
39,358,38,650,4,1,440.34,0,440.34,168.65
40,45,47,245,4,1,909.03,0,909.03,493.93
41,29,8,465,3,5,119.79,0.1,539.06,166.81
42,7,43,674,6,2,943.2,0,1886.4,1098.56
43,255,9,719,3,1,289.81,0,289.81,61.56
44,191,34,530,2,3,450.53,0,1351.59,396.93
45,461,48,276,1,1,623.86,0.2,499.09,159.35
46,33,22,440,3,3,882.41,0.1,2382.51,1216.47
47,234,46,591,5,1,273.23,0.05,259.57,130.98
48,291,24,57,2,4,54.65,0.2,174.88,72.48
49,53,24,162,5,3,54.65,0.2,131.16,54.36
50,261,44,119,1,2,1154.92,0.15,1963.36,970.8
51,242,3,13,3,2,292.44,0,584.88,160.82
52,19,25,154,5,2,684.94,0.2,1095.9,545.02
53,165,46,672,2,4,273.23,0,1092.92,578.56
54,40,27,328,5,3,598.18,0.2,1435.63,304.87
55,462,24,123,1,5,54.65,0.15,232.26,104.26
56,489,12,229,4,5,895.29,0,4476.45,2065.95
57,433,5,477,3,3,671.56,0.2,1611.74,653.03
58,5,21,89,3,5,82.31,0.05,390.97,85.77
59,156,13,299,6,5,522.55,0.2,2090.2,840.15
60,303,40,249,4,4,317.98,0,1271.92,722.6
61,408,50,201,2,5,375.47,0.2,1501.88,451.68
62,120,10,7,5,4,221.54,0,886.16,155.28
63,1,23,652,6,1,423.47,0,423.47,236.87
64,272,25,315,2,1,684.94,0,684.94,409.5
65,365,27,504,3,1,598.18,0,598.18,221.26
66,267,6,45,4,2,810.96,0.2,1297.54,648.74
67,44,45,382,5,4,157.72,0.15,536.25,265.01
