activity_id,customer_id,date_id,channel_id,session_duration_sec,pages_viewed,actions_taken,bounce
1,410,499,4,493,4,5,0
2,337,224,1,671,11,10,0
3,349,326,4,1394,2,11,0
4,48,538,4,24,1,0,1
5,450,228,5,570,9,8,0
6,189,522,5,11,1,0,1
7,40,319,1,14,1,0,1
8,487,53,6,1446,4,4,0
9,332,331,1,416,13,14,0
10,322,403,5,24,1,0,1
11,20,597,6,19,1,0,1
12,231,633,4,1111,2,4,0
13,499,310,6,13,1,0,1
14,263,299,3,853,16,9,0
15,390,238,4,28,1,0,1
16,489,306,1,145,14,6,0
17,314,327,4,457,16,6,0
18,182,597,4,759,15,5,0
19,361,686,2,1366,15,7,0
20,202,573,6,11,1,0,1
21,70,579,1,688,18,11,0
22,339,312,6,345,8,7,0
23,47,385,6,16,1,0,1
24,178,642,6,13,1,0,1
25,299,444,4,59,15,6,0
26,407,394,4,27,1,0,1
27,91,126,3,28,1,0,1
28,183,558,3,1341,3,15,0
29,478,625,1,18,1,0,1
30,2,345,1,10,1,0,1
31,40,526,6,202,13,2,0
32,483,294,1,476,10,8,0
33,198,716,1,1454,19,8,0
34,105,711,4,1670,15,9,0
35,66,606,6,9,1,0,1
36,148,681,6,504,7,0,0
37,218,650,3,1544,1,12,0
38,96,120,5,396,14,12,0
39,64,615,6,783,14,13,0
40,40,2,2,651,13,7,0
41,416,33,2,30,1,0,1
42,66,137,6,1441,8,8,0
43,279,41,1,437,15,13,0
44,457,432,4,743,20,0,0
45,443,464,5,7,1,0,1
46,326,312,3,1677,13,3,0
47,14,632,2,11,1,0,1
48,440,359,1,19,1,0,1
49,203,370,4,639,5,12,0
50,57,563,4,514,16,4,0
51,35,582,5,1612,12,12,0
52,325,343,3,1203,6,5,0
53,225,385,3,1672,3,9,0
54,14,222,5,672,1,5,0
55,172,352,1,1502,7,8,0
56,474,700,3,1135,13,15,0
57,274,549,2,23,1,0,1
58,241,247,2,7,1,0,1
59,185,283,4,28,1,0,1
60,43,383,6,997,10,6,0
61,48,118,3,27,1,0,1
62,235,539,5,965,19,10,0
63,69,705,1,14,1,0,1
64,165,293,2,19,1,0,1
65,223,436,1,1062,7,1,0
66,412,383,5,115,2,3,0
67,275,492,2,185,10,6,0
68,167,95,1,522,8,13,0
69,212,175,6,222,1,15,0
70,40,562,4,209,2,12,0
71,164,434,3,273,11,14,0
72,209,658,5,1344,1,4,0
73,421,593,6,415,8,2,0
74,135,184,6,1531,7,0,0
75,28,190,2,121,6,13,0
76,332,708,3,1434,1,10,0
77,71,173,3,1527,4,3,0
78,79,28,4,18,1,0,1
79,53,323,1,534,11,4,0
80,441,412,4,12,1,0,1
81,379,532,2,9,1,0,1
82,70,285,1,6,1,0,1
83,119,602,2,387,6,1,0
84,72,671,1,205,20,1,0
85,59,213,3,1104,10,6,0
86,52,198,2,25,1,0,1
